,Address,Distance_from_Airport,Distance_from_city_center,Hotel_Rating,Hotel_name,Hotel_price
0,"8B, Gulab Estate, Sakinaka Tele, Exchange Lane, Near Sakinaka, Andheri, Mumbai, 400072 India",1.0 km to Chhatrapati Shivaji International Airport (BOM),19 km to City centre,,FabHotel Arton Suites Andheri East,"Rs2,770"
1,"287, Dr. Babasaheb Ambedkar Road, Parel, Mumbai, Maharashtra, 400012 India",11 km to Chhatrapati Shivaji International Airport (BOM),7.4 km to City centre,9,"ITC Grand Central, a Luxury Collection Hotel, Mumbai","Rs10,800"
2,"35 Janki Devi Public School Road, Mumbai, 400053 India",7.3 km to Chhatrapati Shivaji International Airport (BOM),23 km to City centre,10,The Social Space,
3,"Nariman Point, Mumbai, Maharashtra, 400021 India",19 km to Chhatrapati Shivaji International Airport (BOM),1.3 km to City centre,9,"Trident, Nariman Point Mumbai","Rs9,000"
4,"26, Corner of D.N. Road, and Rustom Sidhwa Marg, Fort, Mumbai, Maharashtra, 400 001 India",18 km to Chhatrapati Shivaji International Airport (BOM),0.3 km to City centre,8.6,Residency Hotel - Fort - Mumbai,"Rs4,221"
5,"Kamal Mansion, HNAA Marg, Apollo Bandar, Colaba, Mumbai, Maharashtra, 400005 India",20 km to Chhatrapati Shivaji International Airport (BOM),1.6 km to City centre,8,OYO 13044 Hotel Abad Inn,"Rs3,764"
6,"Sahar, Andheri (E), Mumbai, Maharashtra, 400 099 India",1.2 km to Chhatrapati Shivaji International Airport (BOM),20 km to City centre,8.6,"ITC Maratha Mumbai, a Luxury Collection Hotel, Mumbai","Rs11,400"
7,"Sahar Airport Road, Andheri East, Mumbai, Maharashtra, 400099 India",1.3 km to Chhatrapati Shivaji International Airport (BOM),20 km to City centre,8,Hilton Mumbai International Airport,"Rs8,550"
8,"29 Marine Drive, Mumbai, Maharashtra, 400 020 India",19 km to Chhatrapati Shivaji International Airport (BOM),0.9 km to City centre,8.6,Hotel Marine Plaza,"Rs7,178"
9,"Bandstand, Bandra West, Mumbai, Maharashtra, 400050 India",8.1 km to Chhatrapati Shivaji International Airport (BOM),13 km to City centre,9,Taj Lands End,"Rs12,000"
10,"Mahakali caves road, chakala, Andheri E, Mumbai, Maharashtra, 400093 India",2.8 km to Chhatrapati Shivaji International Airport (BOM),21 km to City centre,8.8,Sai Palace Hotel,
